claim_id,claim,evidence_type,artifact,comparison,primary_metric,primary_value,secondary_metrics,n_samples,evidence_direction,paper_use
clinical_fusion_specificity_0_800,"At specificity>=0.800, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.800,sensitivity,0.8058252427184466,threshold=0.337; sensitivity=0.806; specificity=0.814; precision=0.675; npv=0.897; f1=0.735; balanced_accuracy=0.810,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_specificity_0_900,"At specificity>=0.900, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.900,sensitivity,0.6990291262135923,threshold=0.356; sensitivity=0.699; specificity=0.907; precision=0.783; npv=0.863; f1=0.738; balanced_accuracy=0.803,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_specificity_0_950,"At specificity>=0.950, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.950,sensitivity,0.6116504854368932,threshold=0.374; sensitivity=0.612; specificity=0.958; precision=0.875; npv=0.837; f1=0.720; balanced_accuracy=0.785,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_sensitivity_0_900,"At sensitivity>=0.900, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,sensitivity>=0.900,specificity,0.5906976744186047,threshold=0.313; sensitivity=0.903; specificity=0.591; precision=0.514; npv=0.927; f1=0.655; balanced_accuracy=0.747,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
calibration_quality_weighted_fusion,Internal quality-weighted fusion has small global calibration gap but non-trivial bin-level calibration error.,calibration,reports/tables/calibration_under_shift_summary.csv,quality_weighted_fusion_predictions,ece,0.1503736522927272,observed_prevalence=0.324; mean_probability=0.331; calibration_gap=0.007; mce=0.527; brier=0.190; nll=0.564,318,mixed,Use in reliability/calibration discussion to avoid overclaiming calibrated clinical probabilities.
calibration_external_transfer_worst,External transfer probabilities are strongly over-confident relative to COUGHVID prevalence.,calibration_under_shift,reports/tables/calibration_under_shift_summary.csv,external_model_grid_predictions,ece,0.2863756528425152,observed_prevalence=0.034; mean_probability=0.321; calibration_gap=0.286; mce=0.464; brier=0.120; nll=0.419,8331,cautionary,Use as direct evidence that external probabilities should not be interpreted as calibrated risks.
domain_shift_beats_max,"beats features strongly separate source and external datasets, supporting a dataset-artifact explanation for transfer failure.",domain_shift,data/outputs/metrics/domain_shift_audit_metrics.csv,beats source-vs-external domain classifier,domain_auroc,0.965601302931596,domain_auprc=0.981; balanced_accuracy=0.904; f1=0.929; accuracy=0.906; brier=0.069; ece=0.043; n_features=772.000,3728,cautionary,"Use as mechanistic evidence that representation vectors encode dataset/source artifacts, not only COVID label signal."
ipw_sensitivity_cap_2,"IPW-controlled audio performance remains visible under a stricter weight cap of 2.0, with explicit effective-sample-size reporting.",ipw_sensitivity,data/outputs/metrics/ipw_sensitivity_metrics.csv,ipw_cap_2_q_0.95,auroc,0.8073596699309519,auprc=0.624; balanced_accuracy=0.742; sensitivity=0.679; specificity=0.804; f1=0.541; effective_sample_size=238.745; mean_abs_smd_after=0.149; max_abs_smd_after=0.724; max_weight=2.530,318,qualified_supportive,Use to answer reviewer concerns that the adjusted audio result depends on one arbitrary IPW truncation setting.
external_prevalence_recalibration_best,"Target-prevalence intercept correction improves external calibration, but it does not repair discrimination under dataset shift.",prevalence_recalibration,reports/tables/external_prevalence_recalibration.csv,external_model_grid_predictions,ece_reduction,0.2853675908382008,original_ece=0.286; corrected_ece=0.001; corrected_abs_calibration_gap=0.001; auroc=0.484; auprc=0.036,8331,reliability_context,Use to show that prevalence correction can reduce probability inflation while leaving ranking/generalization limits intact.
paired_bootstrap_external_best_vs_baseline,Paired bootstrap comparison quantifies whether the selected external model materially improves over the logistic all-feature baseline.,paired_bootstrap_comparison,reports/tables/paired_bootstrap_comparisons.csv,external_model_grid_predictions,auroc_difference,0.0249285904295912,ci_low=-0.024; ci_high=0.072; p_two_sided_bootstrap=0.304; n_matched=8331.000,8331,comparison_context,Use to avoid overinterpreting small model-ranking differences under paired external evaluation.
